codec_combo,file_name,codec1_codec,codec1_mp3_bitrate,codec2_codec,codec2_aac_bitrate,codec1_gsm_bitrate,codec1_highpass_filter,codec2_bitrate,codec1_aac_bitrate,codec2_mp3_bitrate,codec2_highpass_filter,codec1_bitrate,codec2_gsm_bitrate,codec1_opus_bitrate,codec2_opus_bitrate
GSM-AAC,p251_243.wav,GSM,,AAC,64k,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,
ALAW-AAC,p237_180.wav,ALAW,,AAC,64k,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,
ALAW-AAC,p284_269.wav,ALAW,,AAC,40k,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,
ALAW-GSM,p335_123.wav,ALAW,,GSM,,,"{'cutoff_freq': 20, 'order': 2}",,,,"{'cutoff_freq': 20, 'order': 2}",64k,13k,,
AAC-GSM,p241_248.wav,AAC,,GSM,,,,,80k,,"{'cutoff_freq': 20, 'order': 2}",,13.2k,,
AAC-ALAW,p316_115.wav,AAC,,ALAW,,,,64k,96k,,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-AAC,p305_242.wav,ALAW,,AAC,64k,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,
MP3-OPUS,p264_347.wav,MP3,32k,OPUS,,,,,,,,,,,32k
GSM-AAC,p361_239.wav,GSM,,AAC,48k,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,
ALAW-GSM,p305_012.wav,ALAW,,GSM,,,"{'cutoff_freq': 20, 'order': 2}",,,,"{'cutoff_freq': 20, 'order': 2}",64k,13.2k,,
AAC-MP3,p272_274.wav,AAC,,MP3,,,,,48k,16k,,,,,
AAC-OPUS,p255_060.wav,AAC,,OPUS,,,,,40k,,,,,,5k
ALAW-OPUS,p295_175.wav,ALAW,,OPUS,,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,16k
ALAW-MULAW,p361_347.wav,ALAW,,MULAW,,,"{'cutoff_freq': 20, 'order': 2}",64k,,,,64k,,,
AAC-MP3,p305_117.wav,AAC,,MP3,,,,,96k,64k,,,,,
MP3-AAC,p305_181.wav,MP3,32k,AAC,40k,,,,,,,,,,
AAC-OPUS,p341_132.wav,AAC,,OPUS,,,,,40k,,,,,,32k
GSM-ALAW,p284_160.wav,GSM,,ALAW,,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-MULAW,p302_198.wav,ALAW,,MULAW,,,"{'cutoff_freq': 20, 'order': 2}",64k,,,,64k,,,
ALAW-OPUS,p341_327.wav,ALAW,,OPUS,,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,8k
GSM-MP3,p234_346.wav,GSM,,MP3,,13k,"{'cutoff_freq': 20, 'order': 2}",,,40k,,,,,
